sleep_hours,water_intake,exercise_minutes,stress_level,mood_score,wellness_status
7.8,2,35,4,4,Average
4.8,3,86,9,2,Needs Attention
7.5,2,3,2,4,Average
5.4,2,71,4,9,Average
6.5,9,75,5,1,Good
8.6,4,89,7,6,Average
5.7,5,43,2,2,Average
6.3,7,44,10,5,Average
8.8,9,68,2,7,Excellent
4.5,6,80,10,6,Average
7.5,3,5,4,5,Average
9.9,5,12,7,5,Needs Attention
6.7,7,20,6,6,Good
5.3,6,89,2,10,Good
7.8,10,31,3,8,Excellent
6.3,10,28,6,1,Average
5.4,2,40,7,5,Needs Attention
4.4,7,27,8,7,Average
9.3,9,18,5,3,Average
5.5,10,68,5,10,Good
6.6,8,46,4,3,Good
7.1,3,6,2,3,Needs Attention
7.8,8,76,2,7,Excellent
6.3,9,67,5,9,Excellent
9.2,2,87,2,9,Good
8.5,7,14,5,7,Good
4.9,2,33,9,3,Needs Attention
7.0,3,80,5,9,Good
7.7,4,47,3,9,Excellent
9.7,10,0,10,6,Average
6.9,3,46,5,4,Average
4.3,3,10,8,2,Needs Attention
9.9,10,16,3,8,Good
9.7,4,33,9,10,Average
6.5,5,69,4,5,Good
6.4,7,56,9,8,Good
4.7,5,8,6,1,Needs Attention
7.5,5,75,4,1,Good
4.4,2,29,2,1,Needs Attention
9.2,3,65,4,5,Average
8.0,5,69,3,10,Excellent
7.5,5,60,7,4,Average
4.6,8,45,7,7,Average
6.8,2,86,2,1,Average
6.4,7,13,4,4,Average
5.1,9,17,7,3,Needs Attention
5.7,5,9,8,9,Needs Attention
4.6,10,1,2,4,Average
5.0,9,61,4,7,Good
9.4,4,48,1,7,Good
5.6,9,36,7,9,Average
8.0,9,19,4,5,Good
5.3,2,74,9,1,Needs Attention
8.5,2,6,10,8,Needs Attention
7.0,10,20,1,9,Excellent
4.5,4,8,10,2,Needs Attention
8.1,5,51,2,10,Excellent
5.5,2,79,2,7,Average
7.9,10,40,5,4,Good
8.0,7,30,5,7,Excellent
4.8,6,58,6,2,Average
4.1,3,9,9,4,Needs Attention
7.0,4,44,2,4,Good
6.2,4,56,9,5,Needs Attention
7.7,10,1,9,5,Average
9.6,3,17,5,2,Needs Attention
9.3,10,19,5,5,Average
7.6,7,26,5,9,Excellent
6.9,2,11,7,5,Needs Attention
4.3,7,16,5,3,Needs Attention
8.4,10,90,7,9,Good
4.1,3,88,3,9,Good
4.2,7,74,9,3,Needs Attention
6.6,2,39,6,1,Needs Attention
9.4,5,87,4,2,Average
6.1,10,52,10,3,Average
9.6,5,20,3,7,Good
4.1,7,52,4,5,Good
5.0,3,48,1,8,Good
5.3,9,44,5,4,Average
5.3,5,51,6,5,Average
9.2,6,44,9,7,Average
8.1,10,42,1,2,Good
9.3,6,22,10,5,Average
4.2,8,44,6,7,Good
7.6,10,14,7,10,Average
5.1,2,90,7,1,Needs Attention
7.1,10,87,4,6,Excellent
6.6,7,79,6,2,Good
8.3,6,64,5,7,Excellent
6.0,6,70,3,4,Good
6.5,8,86,3,10,Excellent
7.4,8,70,1,5,Excellent
5.7,8,74,10,6,Average
6.8,9,86,4,9,Excellent
6.8,4,84,2,5,Good
7.1,7,11,4,5,Good
5.3,5,18,1,1,Needs Attention
5.5,9,78,2,8,Excellent
6.5,5,89,7,8,Good
6.4,4,83,1,2,Average
8.7,5,22,9,8,Good
4.3,5,15,8,3,Needs Attention
8.8,10,71,10,6,Good
9.7,9,78,9,7,Good
9.0,10,57,3,8,Excellent
6.7,5,81,5,9,Excellent
6.9,5,35,8,2,Needs Attention
8.3,5,34,6,6,Good
9.4,3,17,3,4,Average
6.3,4,90,4,2,Average
6.5,7,69,8,7,Good
4.4,8,49,10,1,Needs Attention
9.1,8,61,1,6,Excellent
5.8,8,53,9,9,Average
8.8,5,62,4,5,Good
6.6,2,49,6,7,Good
8.3,9,16,10,9,Average
4.2,8,75,10,1,Needs Attention
4.5,8,17,8,3,Needs Attention
4.3,8,41,4,8,Good
6.0,8,35,7,5,Average
9.0,9,2,9,1,Needs Attention
10.0,7,28,2,1,Good
8.5,5,25,1,10,Excellent
4.9,4,60,2,10,Good
9.7,9,89,5,6,Excellent
5.0,3,20,5,2,Needs Attention
7.5,6,73,7,7,Good
9.6,5,9,10,4,Needs Attention
4.6,6,87,10,2,Needs Attention
8.8,2,44,9,7,Average
8.0,3,64,6,1,Average
9.1,9,13,7,6,Average
7.8,9,90,3,7,Excellent
5.1,10,83,5,10,Good
8.8,10,61,8,7,Good
9.0,6,41,4,2,Average
5.7,9,31,8,10,Average
7.7,8,43,1,8,Excellent
9.1,4,62,4,6,Good
8.8,7,35,10,5,Average
7.3,10,24,2,4,Excellent
8.3,9,71,4,8,Excellent
7.9,9,57,1,2,Good
5.8,8,88,4,5,Good
8.0,7,60,9,9,Good
6.1,10,42,6,8,Excellent
5.6,6,29,2,4,Average
5.9,10,88,3,4,Good
5.3,9,35,10,9,Average
7.6,3,24,5,4,Average
6.2,6,1,9,3,Needs Attention
5.6,2,70,5,3,Needs Attention
7.8,9,13,1,10,Excellent
5.7,9,56,6,3,Average
9.8,6,61,2,2,Good
6.4,3,73,1,3,Average
4.9,6,10,4,2,Needs Attention
7.3,8,77,10,10,Good
5.4,10,48,8,8,Average
5.8,8,39,10,10,Average
4.4,3,26,4,5,Needs Attention
8.0,4,30,3,9,Good
4.5,2,52,8,10,Needs Attention
6.8,2,29,5,5,Average
8.2,9,9,4,5,Good
8.7,5,54,2,9,Excellent
5.3,4,34,3,2,Needs Attention
4.4,6,76,10,5,Needs Attention
6.6,9,88,5,7,Excellent
9.7,10,69,8,8,Good
4.5,2,55,6,10,Average
5.5,3,29,10,10,Needs Attention
9.7,6,73,1,3,Good
6.8,9,35,3,10,Excellent
6.6,9,11,8,6,Average
6.5,7,85,2,3,Good
6.0,9,36,7,9,Good
4.2,3,40,5,6,Average
4.7,8,65,1,9,Excellent
6.8,2,24,9,6,Needs Attention
7.7,9,80,8,1,Average
5.2,10,16,5,8,Average
9.3,9,15,1,10,Good
8.8,4,39,9,1,Needs Attention
7.3,3,28,2,8,Good
9.7,4,63,5,9,Good
8.2,8,61,8,4,Good
6.7,4,49,4,10,Good
7.0,4,8,5,7,Average
6.0,10,34,1,5,Good
8.4,9,19,8,9,Average
6.9,7,70,9,7,Good
6.7,7,24,4,10,Excellent
6.3,8,5,6,8,Good
8.2,8,49,3,8,Excellent
9.8,4,64,10,6,Average
9.2,9,12,9,8,Average
4.1,4,52,3,2,Needs Attention
6.8,6,43,10,7,Average
7.9,7,86,9,7,Good
9.7,9,69,1,10,Excellent
4.4,6,29,2,7,Good
9.9,3,56,3,5,Good
9.4,2,41,1,5,Average
6.2,8,18,4,9,Good
6.5,4,21,3,2,Average
7.7,8,79,4,8,Excellent
9.5,4,29,8,5,Needs Attention
6.8,2,59,5,9,Good
4.9,9,44,10,5,Needs Attention
7.8,8,88,5,8,Excellent
9.1,5,49,8,2,Needs Attention
5.4,7,73,5,5,Good
4.1,8,35,1,10,Good
9.2,2,77,8,5,Needs Attention
8.7,5,77,6,4,Good
7.8,6,86,3,2,Good
9.4,2,39,8,1,Needs Attention
7.5,4,11,5,6,Average
8.5,4,25,3,9,Good
9.3,7,67,9,5,Average
9.0,6,61,5,6,Excellent
8.8,9,9,3,4,Good
9.2,8,71,6,2,Good
8.7,2,33,9,2,Needs Attention
6.7,6,74,7,6,Average
4.7,5,60,1,10,Good
9.3,10,41,10,4,Average
7.9,9,89,5,7,Excellent
4.7,2,4,5,8,Needs Attention
4.7,5,68,3,7,Good
6.7,10,53,10,3,Average
9.3,3,62,10,7,Average
9.6,6,4,6,4,Average
6.7,5,46,2,6,Excellent
7.3,7,7,7,5,Average
5.1,3,58,2,4,Average
7.9,2,6,6,4,Average
9.9,5,8,9,4,Needs Attention
7.5,5,42,3,10,Excellent
4.0,4,16,9,5,Needs Attention
8.8,3,84,1,3,Average
4.1,5,75,6,1,Average
5.0,2,16,7,9,Needs Attention
4.7,3,60,8,6,Needs Attention
7.1,3,57,9,4,Average
9.7,2,84,9,5,Needs Attention
6.7,2,7,8,7,Needs Attention
6.6,3,62,8,2,Needs Attention
9.4,7,77,3,2,Good
4.8,10,41,7,10,Average
7.2,9,64,10,7,Good
4.6,3,83,9,4,Needs Attention
6.6,5,52,6,8,Excellent
6.4,3,40,7,6,Needs Attention
8.0,7,19,8,2,Needs Attention
4.5,3,11,7,2,Needs Attention
8.5,7,16,9,1,Needs Attention
7.5,10,71,6,2,Good
6.5,8,6,5,10,Good
5.9,3,73,9,4,Needs Attention
4.9,9,28,2,6,Good
9.1,7,14,5,10,Good
5.4,8,71,10,10,Average
8.0,10,3,10,5,Average
4.2,6,89,5,6,Good
6.1,4,18,10,7,Needs Attention
